"Table 5: All Claimants and those aged 16 to 24 by Local Authority, August 2017 to 2022 (non-seasonally adjusted)",,,,,,,,,,,,
Back to Contents,,,,,,,,,,,,
This worksheet contains one table with brief notes beneath. The Guidance worksheet contains further information on interpretation.,,,,,,,,,,,,
Source: ,,,,,,,,,,,,
"DWP Stat-Xplore, Alternative Claimant Count",,,,,,,,,,,,
,All ages,,,,,,Ages 16 to 24,,,,,
Local Authority,Aug-17,Aug-18,Aug-19,Aug-20,Aug-21,Aug-22, Aug-17, Aug-18, Aug-19, Aug-20, Aug-21, Aug-22
West Lindsey,1722,1824,1834,3109,2250,1630,338,347,356,593,372,274
Ashfield,2645,2468,2592,5064,3761,2681,480,402,457,1003,694,495
Bassetlaw,1861,1876,1902,3804,2597,1841,312,325,386,818,479,332
Broxtowe,1710,1575,1588,3450,2429,1623,301,267,272,682,467,298
Gedling,1807,1698,1856,3910,2686,1897,309,271,340,823,494,332
Mansfield,2433,2147,2202,4513,3354,2405,443,343,404,930,626,436
Newark and Sherwood,1740,1592,1702,3789,2649,1938,310,251,289,780,450,351
Rushcliffe,1027,946,1066,2532,1732,1162,156,93,160,497,305,166
"Herefordshire, County of",2231,2159,2236,5186,3535,2436,295,274,346,957,543,318
Shropshire,3652,3811,4052,9253,6243,4243,555,585,667,1770,998,616
Stoke-on-Trent,6696,6902,7332,13410,11133,7635,1085,1078,1214,2545,1875,1365
Telford and Wrekin,3509,3417,3465,7372,5231,3740,680,586,650,1559,1111,748
Cannock Chase,1435,1441,1494,3737,2547,1777,232,213,298,773,487,361
East Staffordshire,1572,1622,1760,4029,3148,1977,219,209,254,721,499,294
Lichfield,951,982,1111,3026,1979,1352,136,159,194,598,328,252
Newcastle-under-Lyme,1780,1826,2022,4116,2867,1901,313,311,378,878,529,357
South Staffordshire,1321,1369,1381,3148,2314,1587,208,199,214,648,411,295
Stafford,1318,1368,1476,3719,2512,1760,182,192,224,651,399,307
Staffordshire Moorlands,977,934,947,2312,1543,952,132,118,145,416,248,132
Tamworth,943,1177,1296,2944,2134,1464,134,202,250,619,473,302
North Warwickshire,789,782,788,2131,1425,918,128,118,129,420,260,164
Nuneaton and Bedworth,2481,2709,2656,5461,4076,2815,356,440,439,1062,753,515
Rugby,1348,1437,1409,3160,2362,1833,206,207,207,563,399,269
Stratford-on-Avon,989,1045,1034,3171,2192,1511,99,103,114,540,297,183
Warwick,1237,1288,1427,3784,2647,1867,134,139,181,718,445,264
Birmingham,46648,47713,50207,83994,73882,56823,7039,7401,8350,16083,13353,9990
Coventry,7440,7486,8087,16760,14420,11726,999,1023,1336,3134,2413,1910
Dudley,8536,8440,8434,14893,11644,8366,1467,1470,1604,3067,2202,1457
Sandwell,11368,11266,11071,19944,16535,12407,1721,1642,1746,3745,3000,2195
Solihull,3515,3516,3612,7522,5870,3794,646,651,715,1623,1169,685
Walsall,8380,8237,8725,15799,12420,9026,1417,1309,1641,3268,2449,1703
Wolverhampton,10081,10158,10520,17658,14653,10970,1696,1646,1796,3276,2597,1890
Bromsgrove,1057,1142,1151,2736,2046,1389,187,170,192,524,376,240
Malvern Hills,867,890,902,2256,1506,1077,153,151,147,420,256,170
Redditch,1531,1563,1541,3302,2432,1823,224,272,303,619,425,313
Worcester,1698,1786,1787,3892,2948,2077,283,256,296,751,508,343
Wychavon,1288,1357,1332,3616,2544,1829,188,194,203,737,415,307
Wyre Forest,1535,1621,1543,3585,2480,1722,220,215,263,681,419,291
Bedford,3377,3538,3610,7498,5915,4240,412,529,552,1279,905,575
Central Bedfordshire,2775,2723,2850,8239,5837,3915,328,286,375,1513,989,557
Luton,5240,4978,5296,12333,11037,7540,577,468,626,1985,1731,1047
Peterborough,3722,4300,4515,9919,8442,5676,574,697,798,1916,1478,993
Southend-on-Sea,3870,3934,4158,8975,6792,4492,566,613,679,1669,1184,674
Thurrock,3491,3331,3737,8119,6233,4243,450,453,587,1404,1024,653
Cambridge,1314,1335,1436,3721,2859,1929,149,140,209,690,442,245
East Cambridgeshire,657,726,754,2003,1365,942,74,99,112,342,227,135
Fenland,1503,1563,1677,3686,2860,1959,256,260,316,726,511,362
Huntingdonshire,1488,1552,1670,4619,2938,2003,230,214,286,816,495,319
South Cambridgeshire,1086,1061,1097,3464,2485,1707,110,79,108,582,386,192
Basildon,3378,3331,3601,8306,5969,4079,532,556,629,1520,1096,708
Braintree,1792,1798,1937,5075,3617,2335,220,262,305,903,545,319
Brentwood,773,764,812,2455,1796,1086,114,109,116,413,295,161
Castle Point,1112,992,1045,3136,1927,1146,177,135,179,606,349,170
Chelmsford,2021,1929,2083,5510,3852,2598,284,239,293,974,604,342
Colchester,2572,2483,2726,6612,4875,3190,382,358,442,1278,848,543
Epping Forest,1740,1629,1641,5042,3428,2130,183,159,196,922,570,284
Harlow,1693,1914,1943,4569,3419,2383,209,255,260,779,544,344
Maldon,679,650,667,1999,1415,911,101,78,100,388,233,117
Rochford,852,807,882,2469,1655,1049,115,107,151,502,338,172
Tendring,3260,3188,3456,6743,4744,3215,547,520,576,1361,911,592
Uttlesford,590,641,689,2286,1630,981,50,60,69,410,202,91
Broxbourne,1349,1462,1516,4112,2949,1825,161,172,196,706,437,218
Dacorum,2038,1765,1727,5115,3857,2358,245,199,248,947,551,346
East Hertfordshire,1230,1148,1267,3978,2727,1695,136,109,147,733,440,202
Hertsmere,1400,1316,1440,3737,2759,1868,129,138,187,688,446,253
North Hertfordshire,1562,1400,1433,3839,2575,1645,211,171,193,704,442,239
St Albans,1483,1450,1469,3854,2757,1773,171,182,183,624,403,227
Stevenage,1464,1468,1500,3482,2879,1609,214,165,225,655,487,268
Three Rivers,947,1007,970,2790,1789,1200,119,125,148,559,337,197
Watford,1605,1706,1688,4301,3125,2075,208,238,236,673,523,289
Welwyn Hatfield,1623,1603,1574,3818,2925,1813,226,239,250,762,500,283
Breckland,1719,1718,1648,3637,2486,1726,257,247,268,677,464,277
Broadland,1069,1073,1139,3156,1907,1320,160,152,186,653,356,203
Great Yarmouth,2779,2860,2542,4679,3222,2024,499,512,463,904,581,370
King's Lynn and West Norfolk,1882,1869,1987,4506,3026,2066,295,306,338,929,623,378
North Norfolk,1083,995,974,2720,1740,1317,166,149,133,444,257,186
Norwich,3071,2974,3262,6724,5034,3322,513,472,590,1334,909,603
South Norfolk,1253,1226,1303,3399,2270,1547,166,179,196,602,343,206
Babergh,924,1027,1031,2659,1852,1219,123,172,182,505,277,161
East Suffolk,3534,3621,3587,7447,4971,3309,630,626,647,1484,939,584
Ipswich,2975,3065,3222,6490,5298,3594,378,471,529,1149,876,532
Mid Suffolk,889,873,947,2355,1550,1122,112,115,151,462,265,208
West Suffolk,2017,2013,2021,4786,3339,2139,319,278,317,871,569,304
Camden,4952,4757,5014,11283,9554,6699,425,385,583,1681,1371,911
City of London,94,77,77,258,202,248,5,5,6,32,30,30
Hackney,8917,8620,8925,19542,16096,11177,980,918,1152,2812,2130,1325
Hammersmith and Fulham,4740,4912,4884,10475,8735,5901,476,525,534,1479,1068,696
Haringey,8094,7303,7707,19933,17755,12013,842,700,881,2785,2358,1391
Islington,6023,5992,6360,13435,11318,7904,643,705,772,1995,1610,1159
Kensington and Chelsea,2920,2827,2764,6390,5289,3544,251,216,264,781,575,363
Lambeth,9106,8905,9261,21054,18049,12030,919,994,1155,3082,2499,1533
Lewisham,8551,8191,8879,20231,17151,11960,948,907,1184,3228,2615,1713
Newham,9333,9169,9456,25474,24138,15008,976,886,1096,3949,3327,2010
Southwark,8536,8507,8759,19662,16202,10943,900,919,1113,2845,2182,1350
Tower Hamlets,9371,9106,9230,20979,18688,12298,1179,1172,1293,3369,2818,1734
Wandsworth,5695,5432,5669,14390,11528,7944,505,529,592,1982,1482,874
Westminster,4471,4406,4614,10251,9064,6233,374,316,444,1335,1158,685
Barking and Dagenham,6202,5928,6323,14715,12530,8554,783,725,854,2493,1907,1247
Barnet,7290,6926,7402,19138,15545,10598,579,595,743,2744,1896,1080
Bexley,3816,3402,3685,9414,7128,4669,517,398,532,1716,1247,716
Brent,9085,8467,9009,22804,20236,13570,867,753,1027,3115,2653,1693
Bromley,4061,4021,4344,11724,8815,5800,472,460,590,2020,1431,823
Croydon,10313,10294,10934,23020,19126,13450,1571,1582,1827,4085,3226,2223
Ealing,8793,8616,9101,21786,19105,12776,754,794,997,3030,2306,1445
Enfield,8714,8368,8857,19730,17777,12256,981,983,1236,3126,2613,1657
Greenwich,7072,6628,7048,16467,13943,9518,908,736,994,2771,2195,1372
Harrow,4083,3919,4222,11544,9518,6108,380,360,469,1729,1260,750
Havering,4463,4193,4504,10960,8257,5765,560,514,650,2043,1376,803
Hillingdon,5214,4908,5367,14257,11903,7703,522,484,664,2352,1791,1085
Hounslow,6115,6198,6774,16086,13875,8936,679,702,834,2369,1835,1111
Kingston upon Thames,2249,2161,2397,6293,4700,2836,219,207,317,999,594,334
Merton,3841,3799,3921,10137,7798,5409,415,435,507,1484,1070,678
Redbridge,5520,5253,5888,16378,14325,9048,521,468,758,2497,1990,1277
Richmond upon Thames,2350,2261,2359,6089,4441,2815,216,200,272,946,520,295
Sutton,3130,3142,3163,7532,5487,3589,439,445,443,1166,829,546
Waltham Forest,7120,6885,7281,18730,15815,10096,781,689,906,2647,2161,1448
Bracknell Forest,1177,1038,1191,3535,2410,1375,150,112,175,619,399,199
Brighton and Hove,4833,5102,5382,14241,10660,7228,641,766,838,2786,1875,1108
Buckinghamshire,5557,5600,5817,16139,12090,8651,582,562,658,2737,1732,1004
Isle of Wight,2315,2163,2240,5403,3509,2456,375,309,346,1013,546,332
Medway,5600,5257,5936,12711,9895,6511,915,833,1131,2550,1855,1064
Milton Keynes,4608,4352,4620,11268,8974,6042,524,476,584,1928,1324,807
Portsmouth,3855,3882,4201,10511,7896,5799,470,504,655,1891,1313,921
Reading,3146,3047,3180,7252,5710,4008,305,292,355,1234,938,558
Slough,2950,2756,3042,8048,6458,4514,268,232,344,1146,891,532
Southampton,4558,4967,5343,11982,9161,6426,670,785,933,2313,1605,1055
